# Filename : results\simulations\PINN_Dynamics_PositionUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.2_DataFixed
# Start    : Fri Dec  5 13:45:44 2025
# (1) time	(2) <x>	(3) <x>-dx	(4) <x>+dx
# ================================================================================
8.2943143813	1.8471125302	1.1224156080	2.5718094523
8.3277591973	1.9321561393	1.2236026561	2.6407096224
8.3612040134	2.0091617749	1.3136978696	2.7046256802
8.3946488294	2.0774415721	1.3907621407	2.7641210035
8.4280936455	2.1366221520	1.4539620147	2.8192822892
8.4615384615	2.1865910350	1.5035659676	2.8696161025
8.4949832776	2.2274313969	1.5407395736	2.9141232201
8.5284280936	2.2593511188	1.5671962100	2.9515060277
8.5618729097	2.2826123442	1.5848019509	2.9804227376
8.5953177258	2.2974675480	1.5952223472	2.9997127488
8.6287625418	2.3041074776	1.5996581957	3.0085567594
8.6622073579	2.3026252793	1.5986809160	3.0065696426
8.6956521739	2.2929997618	1.5921612412	2.9938382823
8.7290969900	2.2750991673	1.5792849679	2.9709133666
8.7625418060	2.2487051430	1.5586573422	2.9387529437
8.7959866221	2.2135549450	1.5285037708	2.8986061193
8.8294314381	2.1693983956	1.4869693304	2.8518274608
8.8628762542	2.1160648564	1.4324950901	2.7996346228
8.8963210702	2.0535345735	1.3642082524	2.7428608947
8.9297658863	1.9820082589	1.2822290857	2.6817874321
8.9632107023	1.9019687390	1.1878051768	2.6161323012
8.9966555184	1.8142289257	1.0832422723	2.5452155791
9.0301003344	1.7199612258	0.9716741654	2.4682482862
9.0635451505	1.6207047356	0.8567522906	2.3846571806
9.0969899666	1.5183480904	0.7423259371	2.2943702437
9.1304347826	1.4150875377	0.6321511547	2.1980239206
9.1638795987	1.3133615655	0.5296387744	2.0970843565
9.1973244147	1.2157651133	0.4376403818	1.9938898448
9.2307692308	1.1249479021	0.3582731280	1.8916226763
9.2642140468	1.0435026358	0.2927947243	1.7942105474
9.2976588629	0.9738496581	0.2415552355	1.7061440807
9.3311036789	0.9181250366	0.2040677076	1.6321823656
9.3645484950	0.8780789609	0.1792425192	1.5769154026
9.3979933110	0.8549907836	0.1657959673	1.5441855998
9.4314381271	0.8496060427	0.1627535697	1.5364585157
9.4648829431	0.8620994457	0.1698601508	1.5543387405
9.4983277592	0.8920661627	0.1876915218	1.5964408036
9.5317725753	0.9385419816	0.2174051044	1.6596788588
9.5652173913	1.0000510459	0.2602655651	1.7398365267
9.5986622074	1.0746781503	0.3171621669	1.8321941338
9.6321070234	1.1601610361	0.3882663636	1.9320557085
9.6655518395	1.2539969021	0.4728670775	2.0351267267
9.6989966555	1.3535565277	0.5693531885	2.1377598668
9.7324414716	1.4561990281	0.6752966186	2.2371014376
9.7658862876	1.5593803700	0.7875996008	2.3311611392
9.7993311037	1.6607493435	0.9026859788	2.4188127082
9.8327759197	1.7582256813	1.0167301028	2.4997212599
9.8662207358	1.8500563610	1.1259245303	2.5741881917
9.8996655518	1.9348477209	1.2267850043	2.6429104375
9.9331103679	2.0115727623	1.3164730103	2.7066725143
9.9665551839	2.0795547575	1.3930841120	2.7660254031
10.0000000000	2.1384299315	1.4558226427	2.8210372202
