# Filename :          results/figures/PINN_Dynamics_PositionUncertainty.txt
# Program version :   PINN_Matrix_Solver_v2.1_FixedPhase_Hermitian
# Start:              Wed Dec  3 23:27:08 2025
# (1) time	(2) expected position	(3) expected position - uncertainty	(4) expected position + uncertainty
# ================================================================================
8.5618729097	0.8967184632	0.1905662985	1.6028706280
8.5953177258	0.8647417701	0.1713946875	1.5580888527
8.6287625418	0.8501529481	0.1630618649	1.5372440312
8.6622073579	0.8534245062	0.1649043872	1.5419446253
8.6956521739	0.8744503024	0.1770781626	1.5718224423
8.7290969900	0.9125508328	0.2004901638	1.6246115017
8.7625418060	0.9665069912	0.2364141968	1.6965997856
8.7959866221	1.0346201574	0.2859871576	1.7832531571
8.8294314381	1.1147948129	0.3497828946	1.8798067312
8.8628762542	1.2046384917	0.4275566324	1.9817203509
8.8963210702	1.3015728293	0.5181571579	2.0849885007
8.9297658863	1.4029488678	0.6195634403	2.1863342953
8.9632107023	1.5061596280	0.7290022820	2.2833169739
8.9966555184	1.6087432963	0.8431184346	2.3743681580
9.0301003344	1.7084711543	0.9581842236	2.4587580850
9.0635451505	1.8034155523	1.0703469127	2.5364841919
9.0969899666	1.8919947102	1.1759153339	2.6080740865
9.1304347826	1.9729928079	1.2716775928	2.6743080230
9.1638795987	2.0455555883	1.3552157097	2.7358954669
9.1973244147	2.1091634100	1.4251496223	2.7931771978
9.2307692308	2.1635852359	1.4812287924	2.8459416793
9.2642140468	2.2088183142	1.5242219151	2.8934147132
9.2976588629	2.2450192168	1.5556264803	2.9344119534
9.3311036789	2.2724323780	1.5772830633	2.9675816927
9.3645484950	2.2913222955	1.5909932259	2.9916513651
9.3979933110	2.3019151219	1.5982090816	3.0056211623
9.4314381271	2.3043545079	1.5998207501	3.0088882657
9.4648829431	2.2986753419	1.5960410195	3.0013096644
9.4983277592	2.2847975422	1.5863793663	2.9832157182
9.5317725753	2.2625404084	1.5697027610	2.9553780558
9.5652173913	2.2316563579	1.5443888046	2.9189239112
9.5986622074	2.1918812722	1.5085782104	2.8751843340
9.6321070234	2.1429972862	1.4605191062	2.8254754663
9.6655518395	2.0849027665	1.3989610966	2.7708444365
9.6989966555	2.0176835240	1.3235153691	2.7118516788
9.7324414716	1.9416790513	1.2348808524	2.6484772501
9.7658862876	1.8575377783	1.1348722734	2.5802032833
9.7993311037	1.7662559942	1.0262589169	2.5062530715
9.8327759197	1.6691961459	0.9124826400	2.4259096518
9.8662207358	1.5680816181	0.7973356989	2.3388275372
9.8996655518	1.4649667252	0.6846531186	2.2452803319
9.9331103679	1.3621823973	0.5780416173	2.1463231774
9.9665551839	1.2622597812	0.4806475015	2.0438720610
10.0000000000	1.1678355965	0.3949620788	1.9407091142
