# Filename : results\simulations\PINN_Dynamics_PositionUncertainty.txt
# Version  : PINN_Matrix_Solver_v2.3_Final
# Start    : Sat Dec  6 00:33:51 2025
# (1) time	(2) <x>	(3) <x>-dx	(4) <x>+dx
# ================================================================================
5.7190635452	1.1984363491	0.4220033774	1.9748693208
5.7525083612	1.2949813011	0.5118087045	2.0781538977
5.7859531773	1.3961434725	0.6125778659	2.1797090791
5.8193979933	1.4993098653	0.7215827864	2.2770369441
5.8528428094	1.6020062102	0.8355008038	2.3685116165
5.8862876254	1.7019860618	0.9506218116	2.4533503120
5.9197324415	1.7973002073	1.0630930510	2.5315073635
5.9531772575	1.8863430659	1.1692031976	2.6034829342
5.9866220736	1.9678744287	1.2656986975	2.6700501599
6.0200668896	2.0410166422	1.3501003523	2.7319329322
6.0535117057	2.1052290665	1.4209545632	2.7895035697
6.0869565217	2.1602631955	1.4779371720	2.8425892190
6.1204013378	2.2061031248	1.5217567153	2.8904495343
6.1538461538	2.2428969816	1.5538737712	2.9319201920
6.1872909699	2.2708854429	1.5761183714	2.9656525145
6.2207357860	2.2903335180	1.5903051061	2.9903619300
6.2541806020	2.3014713613	1.5979167458	3.0050259768
6.2876254181	2.3044490498	1.5998850736	3.0090130259
6.3210702341	2.2993090574	1.5964693768	3.0021487380
6.3545150502	2.2859786872	1.5872247342	2.9847326402
6.3879598662	2.2642830798	1.5710569859	2.9575091737
6.4214046823	2.2339777334	1.5463694932	2.9215859735
6.4548494983	2.1947978623	1.5113090056	2.8782867191
6.4882943144	2.1465205102	1.4641047024	2.8289363179
6.5217391304	2.0890342239	1.4034611195	2.7746073283
6.5551839465	2.0224103704	1.3289236348	2.7158971061
6.5886287625	1.9469698867	1.2411161278	2.6528236456
6.6220735786	1.8633394301	1.1417827114	2.5848961488
6.6555183946	1.7724915222	1.0336373330	2.5113457114
6.6889632107	1.6757643141	0.9200871701	2.4314414582
6.7224080268	1.5748579778	0.8049110565	2.3448048992
6.7558528428	1.4718063424	0.6919499143	2.2516627704
6.7892976589	1.3689241385	0.5848330762	2.1530152008
6.8227424749	1.2687319622	0.4867436886	2.0507202357
6.8561872910	1.1738626940	0.4002216052	1.9475037828
6.8896321070	1.0869545010	0.3270085788	1.8469004232
6.9230769231	1.0105365985	0.2679535625	1.7531196346
6.9565217391	0.9469145886	0.2230121403	1.6708170369
6.9899665552	0.8980623665	0.1913861878	1.6047385452
7.0234113712	0.8655272877	0.1718394620	1.5592151133
7.0568561873	0.8503545281	0.1631656705	1.5375433857
7.0903010033	0.8530354044	0.1646775362	1.5413932725
7.1237458194	0.8734829254	0.1765027553	1.5704630954
7.1571906355	0.9110361284	0.1995280244	1.6225442325
7.1906354515	0.9644929233	0.2350226791	1.6939631675
